!! Predictions spanning range 2319 - 143231 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 10000.00 2319-3353 orient(+) score(4140.00) noncoding_equivalent(0.41) raw_noncoding(0.00) offset(0.00) 
2319	3353	single+	1	3	{Augustus_model.g2271.t1;Augustus},{GlimmerHMM_glimmerT_2753-T1;GlimmerHMM}
5328	5230	internal-	6	5	{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus}
5399	5329	INTRON			{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus}
5529	5400	internal-	5	5	{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus},{GlimmerHMM_glimmerT_2754-T1;GlimmerHMM}
5598	5530	INTRON			{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus},{GlimmerHMM_glimmerT_2754-T1;GlimmerHMM}
5665	5599	internal-	4	4	{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus},{GlimmerHMM_glimmerT_2754-T1;GlimmerHMM}
5734	5666	INTRON			{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus},{GlimmerHMM_glimmerT_2754-T1;GlimmerHMM}
5874	5735	internal-	5	6	{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus},{GlimmerHMM_glimmerT_2754-T1;GlimmerHMM}
5976	5875	INTRON			{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus},{GlimmerHMM_glimmerT_2754-T1;GlimmerHMM}
6100	5977	initial-	4	4	{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus},{GlimmerHMM_glimmerT_2754-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 4.00 6558-7930 orient(-) score(10207.00) noncoding_equivalent(2553.00) raw_noncoding(3179.00) offset(626.00) 
6573	6558	terminal-	6	6	{Augustus_model.g2273.t1;Augustus},{GeneMark_model.2937_t;GeneMark},{GlimmerHMM_glimmerT_2755-T1;GlimmerHMM}
6641	6574	INTRON			{Augustus_model.g2273.t1;Augustus},{GeneMark_model.2937_t;GeneMark},{GlimmerHMM_glimmerT_2755-T1;GlimmerHMM}
6851	6642	internal-	6	5	{Augustus_model.g2273.t1;Augustus},{GeneMark_model.2937_t;GeneMark},{GlimmerHMM_glimmerT_2755-T1;GlimmerHMM}
6962	6852	INTRON			{Augustus_model.g2273.t1;Augustus},{GeneMark_model.2937_t;GeneMark},{GlimmerHMM_glimmerT_2755-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1021/Target=lcl|NW_017264943_1_prot_XP_018268238_1_6486;exonerate},{ev_type:exonerate/ID=match.2566964.1019/Target=lcl|LCTV02000005_1_prot_PRQ75253_1_5907;exonerate},{ev_type:exonerate/ID=match.2566964.1027/Target=lcl|KQ954464_1_prot_KWU47523_1_249;exonerate},{ev_type:exonerate/ID=match.2566964.1028/Target=lcl|PJQD01000035_1_prot_POY73726_1_3297;exonerate},{ev_type:exonerate/ID=match.2566964.1020/Target=lcl|BJWK01000005_1_prot_GEM08263_1_2280;exonerate}
7121	6963	internal-	6	5	{Augustus_model.g2273.t1;Augustus},{GeneMark_model.2937_t;GeneMark},{GlimmerHMM_glimmerT_2755-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1021/Target=lcl|NW_017264943_1_prot_XP_018268238_1_6486;exonerate},{ev_type:exonerate/ID=match.2566964.1019/Target=lcl|LCTV02000005_1_prot_PRQ75253_1_5907;exonerate},{ev_type:exonerate/ID=match.2566964.1027/Target=lcl|KQ954464_1_prot_KWU47523_1_249;exonerate},{ev_type:exonerate/ID=match.2566964.1028/Target=lcl|PJQD01000035_1_prot_POY73726_1_3297;exonerate},{ev_type:exonerate/ID=match.2566964.1020/Target=lcl|BJWK01000005_1_prot_GEM08263_1_2280;exonerate}
7243	7122	INTRON			{Augustus_model.g2273.t1;Augustus},{GeneMark_model.2937_t;GeneMark},{GlimmerHMM_glimmerT_2755-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1021/Target=lcl|NW_017264943_1_prot_XP_018268238_1_6486;exonerate},{ev_type:exonerate/ID=match.2566964.1019/Target=lcl|LCTV02000005_1_prot_PRQ75253_1_5907;exonerate},{ev_type:exonerate/ID=match.2566964.1027/Target=lcl|KQ954464_1_prot_KWU47523_1_249;exonerate},{ev_type:exonerate/ID=match.2566964.1028/Target=lcl|PJQD01000035_1_prot_POY73726_1_3297;exonerate},{ev_type:exonerate/ID=match.2566964.1020/Target=lcl|BJWK01000005_1_prot_GEM08263_1_2280;exonerate}
7425	7244	internal-	4	5	{Augustus_model.g2273.t1;Augustus},{GeneMark_model.2937_t;GeneMark},{GlimmerHMM_glimmerT_2755-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1021/Target=lcl|NW_017264943_1_prot_XP_018268238_1_6486;exonerate},{ev_type:exonerate/ID=match.2566964.1019/Target=lcl|LCTV02000005_1_prot_PRQ75253_1_5907;exonerate},{ev_type:exonerate/ID=match.2566964.1027/Target=lcl|KQ954464_1_prot_KWU47523_1_249;exonerate},{ev_type:exonerate/ID=match.2566964.1028/Target=lcl|PJQD01000035_1_prot_POY73726_1_3297;exonerate},{ev_type:exonerate/ID=match.2566964.1020/Target=lcl|BJWK01000005_1_prot_GEM08263_1_2280;exonerate}
7500	7426	INTRON			{Augustus_model.g2273.t1;Augustus},{GeneMark_model.2937_t;GeneMark},{GlimmerHMM_glimmerT_2755-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1021/Target=lcl|NW_017264943_1_prot_XP_018268238_1_6486;exonerate},{ev_type:exonerate/ID=match.2566964.1019/Target=lcl|LCTV02000005_1_prot_PRQ75253_1_5907;exonerate},{ev_type:exonerate/ID=match.2566964.1027/Target=lcl|KQ954464_1_prot_KWU47523_1_249;exonerate},{ev_type:exonerate/ID=match.2566964.1028/Target=lcl|PJQD01000035_1_prot_POY73726_1_3297;exonerate},{ev_type:exonerate/ID=match.2566964.1020/Target=lcl|BJWK01000005_1_prot_GEM08263_1_2280;exonerate}
7574	7501	internal-	5	6	{Augustus_model.g2273.t1;Augustus},{GeneMark_model.2937_t;GeneMark},{GlimmerHMM_glimmerT_2755-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1021/Target=lcl|NW_017264943_1_prot_XP_018268238_1_6486;exonerate},{ev_type:exonerate/ID=match.2566964.1019/Target=lcl|LCTV02000005_1_prot_PRQ75253_1_5907;exonerate},{ev_type:exonerate/ID=match.2566964.1027/Target=lcl|KQ954464_1_prot_KWU47523_1_249;exonerate},{ev_type:exonerate/ID=match.2566964.1028/Target=lcl|PJQD01000035_1_prot_POY73726_1_3297;exonerate},{ev_type:exonerate/ID=match.2566964.1020/Target=lcl|BJWK01000005_1_prot_GEM08263_1_2280;exonerate}
7713	7575	INTRON			{Augustus_model.g2273.t1;Augustus},{GeneMark_model.2937_t;GeneMark},{GlimmerHMM_glimmerT_2755-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1021/Target=lcl|NW_017264943_1_prot_XP_018268238_1_6486;exonerate},{ev_type:exonerate/ID=match.2566964.1019/Target=lcl|LCTV02000005_1_prot_PRQ75253_1_5907;exonerate},{ev_type:exonerate/ID=match.2566964.1027/Target=lcl|KQ954464_1_prot_KWU47523_1_249;exonerate},{ev_type:exonerate/ID=match.2566964.1028/Target=lcl|PJQD01000035_1_prot_POY73726_1_3297;exonerate},{ev_type:exonerate/ID=match.2566964.1020/Target=lcl|BJWK01000005_1_prot_GEM08263_1_2280;exonerate}
7811	7714	internal-	6	4	{Augustus_model.g2273.t1;Augustus},{GeneMark_model.2937_t;GeneMark},{GlimmerHMM_glimmerT_2755-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1027/Target=lcl|KQ954464_1_prot_KWU47523_1_249;exonerate},{ev_type:exonerate/ID=match.2566964.1028/Target=lcl|PJQD01000035_1_prot_POY73726_1_3297;exonerate}
7898	7812	INTRON			{Augustus_model.g2273.t1;Augustus},{GeneMark_model.2937_t;GeneMark},{GlimmerHMM_glimmerT_2755-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1027/Target=lcl|KQ954464_1_prot_KWU47523_1_249;exonerate},{ev_type:exonerate/ID=match.2566964.1028/Target=lcl|PJQD01000035_1_prot_POY73726_1_3297;exonerate}
7930	7899	initial-	4	5	{Augustus_model.g2273.t1;Augustus},{GeneMark_model.2937_t;GeneMark},{GlimmerHMM_glimmerT_2755-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.22 8381-10592 orient(-) score(7109.00) noncoding_equivalent(2210.14) raw_noncoding(2772.93) offset(562.79) 
9009	8381	terminal-	5	6	{GeneMark_model.2938_t;GeneMark},{GlimmerHMM_glimmerT_2756-T1;GlimmerHMM},{Augustus_model.g2274.t1;Augustus}
9078	9010	INTRON			{GeneMark_model.2938_t;GeneMark},{GlimmerHMM_glimmerT_2756-T1;GlimmerHMM},{Augustus_model.g2274.t1;Augustus}
9248	9079	internal-	6	4	{GeneMark_model.2938_t;GeneMark},{GlimmerHMM_glimmerT_2756-T1;GlimmerHMM},{Augustus_model.g2274.t1;Augustus}
9314	9249	INTRON			{GeneMark_model.2938_t;GeneMark},{GlimmerHMM_glimmerT_2756-T1;GlimmerHMM},{Augustus_model.g2274.t1;Augustus}
9673	9315	internal-	4	5	{GeneMark_model.2938_t;GeneMark},{GlimmerHMM_glimmerT_2756-T1;GlimmerHMM},{Augustus_model.g2274.t1;Augustus}
9731	9674	INTRON			{GeneMark_model.2938_t;GeneMark},{GlimmerHMM_glimmerT_2756-T1;GlimmerHMM},{Augustus_model.g2274.t1;Augustus}
10076	9732	internal-	4	6	{GeneMark_model.2938_t;GeneMark},{GlimmerHMM_glimmerT_2756-T1;GlimmerHMM},{Augustus_model.g2274.t1;Augustus}
10143	10077	INTRON			{GeneMark_model.2938_t;GeneMark},{GlimmerHMM_glimmerT_2756-T1;GlimmerHMM},{Augustus_model.g2274.t1;Augustus}
10262	10144	internal-	5	6	{GeneMark_model.2938_t;GeneMark},{GlimmerHMM_glimmerT_2756-T1;GlimmerHMM},{Augustus_model.g2274.t1;Augustus}
10331	10263	INTRON			{GeneMark_model.2938_t;GeneMark},{GlimmerHMM_glimmerT_2756-T1;GlimmerHMM},{Augustus_model.g2274.t1;Augustus}
10389	10332	internal-	4	4	{GeneMark_model.2938_t;GeneMark},{GlimmerHMM_glimmerT_2756-T1;GlimmerHMM},{Augustus_model.g2274.t1;Augustus}
10472	10390	INTRON			{Augustus_model.g2274.t1;Augustus}
10592	10473	initial-	4	6	{Augustus_model.g2274.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 3.84 10890-12868 orient(-) score(10498.00) noncoding_equivalent(2736.40) raw_noncoding(3234.84) offset(498.44) 
11026	10890	terminal-	5	6	{HiQ_model.g2275.t1;HiQ}
11123	11027	INTRON			{HiQ_model.g2275.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2550/Target=lcl|PJQD01000035_1_prot_POY73724_1_3295;exonerate}
11346	11124	internal-	4	4	{HiQ_model.g2275.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2550/Target=lcl|PJQD01000035_1_prot_POY73724_1_3295;exonerate}
11404	11347	INTRON			{GeneMark_model.2938_t;GeneMark},{HiQ_model.g2275.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2550/Target=lcl|PJQD01000035_1_prot_POY73724_1_3295;exonerate}
11944	11405	internal-	4	6	{GeneMark_model.2938_t;GeneMark},{HiQ_model.g2275.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2550/Target=lcl|PJQD01000035_1_prot_POY73724_1_3295;exonerate}
12004	11945	INTRON			{GeneMark_model.2938_t;GeneMark},{HiQ_model.g2275.t1;HiQ},{ev_type:exonerate/ID=match.2566964.2550/Target=lcl|PJQD01000035_1_prot_POY73724_1_3295;exonerate}
12868	12005	initial-	4	6	{GeneMark_model.2938_t;GeneMark},{HiQ_model.g2275.t1;HiQ}

# EVM prediction: Mode:STANDARD S-ratio: 1.66 13023-14333 orient(-) score(3168.00) noncoding_equivalent(1903.92) raw_noncoding(2855.52) offset(951.60) 
13102	13023	terminal-	5	6	{GeneMark_model.2939_t;GeneMark},{Augustus_model.g2276.t1;Augustus},{GlimmerHMM_glimmerT_2757-T1;GlimmerHMM}
13174	13103	INTRON			{GeneMark_model.2939_t;GeneMark},{Augustus_model.g2276.t1;Augustus},{GlimmerHMM_glimmerT_2757-T1;GlimmerHMM}
13333	13175	internal-	5	4	{GeneMark_model.2939_t;GeneMark},{Augustus_model.g2276.t1;Augustus},{GlimmerHMM_glimmerT_2757-T1;GlimmerHMM}
13488	13334	INTRON			{Augustus_model.g2276.t1;Augustus}
13497	13489	internal-	5	4	{Augustus_model.g2276.t1;Augustus}
13566	13498	INTRON			{GeneMark_model.2939_t;GeneMark},{Augustus_model.g2276.t1;Augustus}
13603	13567	internal-	4	4	{GeneMark_model.2939_t;GeneMark},{Augustus_model.g2276.t1;Augustus}
13678	13604	INTRON			{GeneMark_model.2939_t;GeneMark},{Augustus_model.g2276.t1;Augustus}
13972	13679	internal-	4	6	{GeneMark_model.2939_t;GeneMark},{Augustus_model.g2276.t1;Augustus}
14114	13973	INTRON			{GeneMark_model.2939_t;GeneMark},{Augustus_model.g2276.t1;Augustus}
14333	14115	initial-	4	6	{GeneMark_model.2939_t;GeneMark},{Augustus_model.g2276.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 4.93 15462-17630 orient(+) score(7718.00) noncoding_equivalent(1566.05) raw_noncoding(1841.00) offset(274.95) 
15462	15897	initial+	1	1	{Augustus_model.g2277.t1;Augustus},{GeneMark_model.2940_t;GeneMark},{GlimmerHMM_glimmerT_2758-T1;GlimmerHMM}
15898	15999	INTRON			{Augustus_model.g2277.t1;Augustus},{GeneMark_model.2940_t;GeneMark},{GlimmerHMM_glimmerT_2758-T1;GlimmerHMM}
16000	16248	internal+	2	1	{Augustus_model.g2277.t1;Augustus},{GeneMark_model.2940_t;GeneMark},{GlimmerHMM_glimmerT_2758-T1;GlimmerHMM}
16249	16330	INTRON			{Augustus_model.g2277.t1;Augustus},{GeneMark_model.2940_t;GeneMark},{GlimmerHMM_glimmerT_2758-T1;GlimmerHMM}
16331	16513	internal+	2	1	{Augustus_model.g2277.t1;Augustus},{GeneMark_model.2940_t;GeneMark},{GlimmerHMM_glimmerT_2758-T1;GlimmerHMM}
16514	16575	INTRON			{Augustus_model.g2277.t1;Augustus},{GeneMark_model.2940_t;GeneMark},{GlimmerHMM_glimmerT_2758-T1;GlimmerHMM}
16576	16864	internal+	2	2	{Augustus_model.g2277.t1;Augustus},{GeneMark_model.2940_t;GeneMark},{GlimmerHMM_glimmerT_2758-T1;GlimmerHMM}
16865	16936	INTRON			{Augustus_model.g2277.t1;Augustus},{GeneMark_model.2940_t;GeneMark},{GlimmerHMM_glimmerT_2758-T1;GlimmerHMM}
16937	17630	terminal+	3	3	{Augustus_model.g2277.t1;Augustus},{GeneMark_model.2940_t;GeneMark},{GlimmerHMM_glimmerT_2758-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 1.74 18254-18888 orient(-) score(1803.00) noncoding_equivalent(1039.00) raw_noncoding(1202.00) offset(163.00) 
18442	18254	terminal-	4	6	{GlimmerHMM_glimmerT_2759-T1;GlimmerHMM},{Augustus_model.g2278.t1;Augustus},{GeneMark_model.2941_t;GeneMark}
18510	18443	INTRON			{GlimmerHMM_glimmerT_2759-T1;GlimmerHMM},{Augustus_model.g2278.t1;Augustus},{GeneMark_model.2941_t;GeneMark}
18647	18511	internal-	5	6	{GlimmerHMM_glimmerT_2759-T1;GlimmerHMM},{Augustus_model.g2278.t1;Augustus},{GeneMark_model.2941_t;GeneMark}
18734	18648	INTRON			{GlimmerHMM_glimmerT_2759-T1;GlimmerHMM},{Augustus_model.g2278.t1;Augustus},{GeneMark_model.2941_t;GeneMark}
18888	18735	initial-	4	4	{GlimmerHMM_glimmerT_2759-T1;GlimmerHMM},{GeneMark_model.2941_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 14.92 19337-24449 orient(+) score(29718.00) noncoding_equivalent(1992.09) raw_noncoding(2254.00) offset(261.91) 
19337	19504	initial+	1	3	{GeneMark_model.2942_t;GeneMark},{GlimmerHMM_glimmerT_2760-T1;GlimmerHMM},{Augustus_model.g2279.t1;Augustus}
19505	19568	INTRON			{GeneMark_model.2942_t;GeneMark},{GlimmerHMM_glimmerT_2760-T1;GlimmerHMM},{Augustus_model.g2279.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2512/Target=lcl|KQ954464_1_prot_KWU47528_1_254;exonerate},{ev_type:exonerate/ID=match.2566964.2511/Target=lcl|PJQD01000035_1_prot_POY73720_1_3291;exonerate}
19569	19619	internal+	1	3	{GeneMark_model.2942_t;GeneMark},{GlimmerHMM_glimmerT_2760-T1;GlimmerHMM},{Augustus_model.g2279.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2512/Target=lcl|KQ954464_1_prot_KWU47528_1_254;exonerate},{ev_type:exonerate/ID=match.2566964.2511/Target=lcl|PJQD01000035_1_prot_POY73720_1_3291;exonerate}
19620	19694	INTRON			{GeneMark_model.2942_t;GeneMark},{GlimmerHMM_glimmerT_2760-T1;GlimmerHMM},{Augustus_model.g2279.t1;Augustus},{snap_scaffold_6-snap.308-T1;snap},{ev_type:exonerate/ID=match.2566964.2512/Target=lcl|KQ954464_1_prot_KWU47528_1_254;exonerate},{ev_type:exonerate/ID=match.2566964.2511/Target=lcl|PJQD01000035_1_prot_POY73720_1_3291;exonerate}
19695	22956	internal+	1	1	{GeneMark_model.2942_t;GeneMark},{GlimmerHMM_glimmerT_2760-T1;GlimmerHMM},{Augustus_model.g2279.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2512/Target=lcl|KQ954464_1_prot_KWU47528_1_254;exonerate},{ev_type:exonerate/ID=match.2566964.2511/Target=lcl|PJQD01000035_1_prot_POY73720_1_3291;exonerate}
22957	23020	INTRON			{GeneMark_model.2942_t;GeneMark},{GlimmerHMM_glimmerT_2760-T1;GlimmerHMM},{Augustus_model.g2279.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2512/Target=lcl|KQ954464_1_prot_KWU47528_1_254;exonerate},{ev_type:exonerate/ID=match.2566964.2511/Target=lcl|PJQD01000035_1_prot_POY73720_1_3291;exonerate}
23021	23263	internal+	2	1	{GeneMark_model.2942_t;GeneMark},{GlimmerHMM_glimmerT_2760-T1;GlimmerHMM},{Augustus_model.g2279.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2512/Target=lcl|KQ954464_1_prot_KWU47528_1_254;exonerate},{ev_type:exonerate/ID=match.2566964.2511/Target=lcl|PJQD01000035_1_prot_POY73720_1_3291;exonerate}
23264	23328	INTRON			{GeneMark_model.2942_t;GeneMark},{GlimmerHMM_glimmerT_2760-T1;GlimmerHMM},{Augustus_model.g2279.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2512/Target=lcl|KQ954464_1_prot_KWU47528_1_254;exonerate},{ev_type:exonerate/ID=match.2566964.2511/Target=lcl|PJQD01000035_1_prot_POY73720_1_3291;exonerate}
23329	23546	internal+	2	3	{GeneMark_model.2942_t;GeneMark},{Augustus_model.g2279.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2512/Target=lcl|KQ954464_1_prot_KWU47528_1_254;exonerate},{ev_type:exonerate/ID=match.2566964.2511/Target=lcl|PJQD01000035_1_prot_POY73720_1_3291;exonerate}
23547	23624	INTRON			{GeneMark_model.2942_t;GeneMark},{Augustus_model.g2279.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2512/Target=lcl|KQ954464_1_prot_KWU47528_1_254;exonerate},{ev_type:exonerate/ID=match.2566964.2511/Target=lcl|PJQD01000035_1_prot_POY73720_1_3291;exonerate}
23625	23845	internal+	1	2	{GeneMark_model.2942_t;GeneMark},{Augustus_model.g2279.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2512/Target=lcl|KQ954464_1_prot_KWU47528_1_254;exonerate},{ev_type:exonerate/ID=match.2566964.2511/Target=lcl|PJQD01000035_1_prot_POY73720_1_3291;exonerate}
23846	23912	INTRON			{GeneMark_model.2942_t;GeneMark},{GlimmerHMM_glimmerT_2760-T1;GlimmerHMM},{Augustus_model.g2279.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2512/Target=lcl|KQ954464_1_prot_KWU47528_1_254;exonerate},{ev_type:exonerate/ID=match.2566964.2511/Target=lcl|PJQD01000035_1_prot_POY73720_1_3291;exonerate}
23913	24032	internal+	3	2	{GeneMark_model.2942_t;GeneMark},{GlimmerHMM_glimmerT_2760-T1;GlimmerHMM},{Augustus_model.g2279.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2512/Target=lcl|KQ954464_1_prot_KWU47528_1_254;exonerate},{ev_type:exonerate/ID=match.2566964.2511/Target=lcl|PJQD01000035_1_prot_POY73720_1_3291;exonerate}
24033	24098	INTRON			{GeneMark_model.2942_t;GeneMark},{GlimmerHMM_glimmerT_2760-T1;GlimmerHMM},{Augustus_model.g2279.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2512/Target=lcl|KQ954464_1_prot_KWU47528_1_254;exonerate},{ev_type:exonerate/ID=match.2566964.2511/Target=lcl|PJQD01000035_1_prot_POY73720_1_3291;exonerate}
24099	24175	internal+	3	1	{GeneMark_model.2942_t;GeneMark},{GlimmerHMM_glimmerT_2760-T1;GlimmerHMM},{Augustus_model.g2279.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2512/Target=lcl|KQ954464_1_prot_KWU47528_1_254;exonerate},{ev_type:exonerate/ID=match.2566964.2511/Target=lcl|PJQD01000035_1_prot_POY73720_1_3291;exonerate}
24176	24240	INTRON			{GeneMark_model.2942_t;GeneMark},{GlimmerHMM_glimmerT_2760-T1;GlimmerHMM},{Augustus_model.g2279.t1;Augustus},{ev_type:exonerate/ID=match.2566964.2512/Target=lcl|KQ954464_1_prot_KWU47528_1_254;exonerate},{ev_type:exonerate/ID=match.2566964.2511/Target=lcl|PJQD01000035_1_prot_POY73720_1_3291;exonerate}
24241	24449	terminal+	2	3	{GeneMark_model.2942_t;GeneMark},{GlimmerHMM_glimmerT_2760-T1;GlimmerHMM},{Augustus_model.g2279.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 4.92 24633-25321 orient(-) score(2454.00) noncoding_equivalent(498.89) raw_noncoding(604.33) offset(105.44) 
25019	24633	terminal-	4	6	{GeneMark_model.2943_t;GeneMark},{GlimmerHMM_glimmerT_2761-T1;GlimmerHMM},{snap_scaffold_6-snap.310-T1;snap},{Augustus_model.g2280.t1;Augustus}
25120	25020	INTRON			{GeneMark_model.2943_t;GeneMark},{GlimmerHMM_glimmerT_2761-T1;GlimmerHMM},{Augustus_model.g2280.t1;Augustus}
25321	25121	initial-	4	6	{GeneMark_model.2943_t;GeneMark},{GlimmerHMM_glimmerT_2761-T1;GlimmerHMM},{Augustus_model.g2280.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 24.80 27357-29237 orient(-) score(7371.00) noncoding_equivalent(297.27) raw_noncoding(376.52) offset(79.25) 
29140	27357	terminal-	5	6	{GeneMark_model.2945_t;GeneMark},{Augustus_model.g2281.t1;Augustus},{GlimmerHMM_glimmerT_2763-T1;GlimmerHMM}
29215	29141	INTRON			{GeneMark_model.2945_t;GeneMark},{Augustus_model.g2281.t1;Augustus},{GlimmerHMM_glimmerT_2763-T1;GlimmerHMM}
29237	29216	initial-	4	4	{GeneMark_model.2945_t;GeneMark},{Augustus_model.g2281.t1;Augustus},{GlimmerHMM_glimmerT_2763-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 2.79 29683-30856 orient(+) score(3724.00) noncoding_equivalent(1335.43) raw_noncoding(1494.22) offset(158.78) 
29683	30150	initial+	1	3	{GeneMark_model.2946_t;GeneMark},{GlimmerHMM_glimmerT_2764-T1;GlimmerHMM}
30151	30209	INTRON			{Augustus_model.g2282.t1;Augustus},{GeneMark_model.2946_t;GeneMark},{GlimmerHMM_glimmerT_2764-T1;GlimmerHMM}
30210	30306	internal+	1	1	{Augustus_model.g2282.t1;Augustus},{GeneMark_model.2946_t;GeneMark},{GlimmerHMM_glimmerT_2764-T1;GlimmerHMM}
30307	30374	INTRON			{Augustus_model.g2282.t1;Augustus},{GeneMark_model.2946_t;GeneMark},{GlimmerHMM_glimmerT_2764-T1;GlimmerHMM}
30375	30440	internal+	2	1	{Augustus_model.g2282.t1;Augustus},{GeneMark_model.2946_t;GeneMark},{GlimmerHMM_glimmerT_2764-T1;GlimmerHMM}
30441	30503	INTRON			{Augustus_model.g2282.t1;Augustus},{GeneMark_model.2946_t;GeneMark},{GlimmerHMM_glimmerT_2764-T1;GlimmerHMM}
30504	30856	terminal+	2	3	{Augustus_model.g2282.t1;Augustus},{GeneMark_model.2946_t;GeneMark},{GlimmerHMM_glimmerT_2764-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 11.73 31084-34391 orient(-) score(12303.00) noncoding_equivalent(1049.00) raw_noncoding(1070.00) offset(21.00) 
31818	31084	terminal-	4	6	{Augustus_model.g2283.t1;Augustus},{GeneMark_model.2947_t;GeneMark},{GlimmerHMM_glimmerT_2765-T1;GlimmerHMM}
