!! Predictions spanning range 1847 - 84476 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 3.00 1847-3418 orient(+) score(4716.00) noncoding_equivalent(1572.00) raw_noncoding(1572.00) offset(0.00) 
1847	3418	single+	1	3	{Augustus_model.g2783.t1;Augustus},{GeneMark_model.3600_t;GeneMark},{GlimmerHMM_glimmerT_3379-T1;GlimmerHMM}
7251	7081	initial-	4	6	{GeneMark_model.3601_t;GeneMark},{Augustus_model.g2784.t1;Augustus},{GlimmerHMM_glimmerT_3380-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.93 7616-9104 orient(+) score(6332.00) noncoding_equivalent(1610.21) raw_noncoding(1908.43) offset(298.23) 
7616	7694	initial+	1	1	{GlimmerHMM_glimmerT_3381-T1;GlimmerHMM},{GeneMark_model.3602_t;GeneMark},{Augustus_model.g2785.t1;Augustus}
7695	7783	INTRON			{GlimmerHMM_glimmerT_3381-T1;GlimmerHMM},{GeneMark_model.3602_t;GeneMark},{Augustus_model.g2785.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3140/Target=lcl|PJQD01000018_1_prot_POY75285_1_1504;exonerate}
7784	8175	internal+	2	3	{GlimmerHMM_glimmerT_3381-T1;GlimmerHMM},{GeneMark_model.3602_t;GeneMark},{Augustus_model.g2785.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3140/Target=lcl|PJQD01000018_1_prot_POY75285_1_1504;exonerate}
8176	8239	INTRON			{GlimmerHMM_glimmerT_3381-T1;GlimmerHMM},{GeneMark_model.3602_t;GeneMark},{Augustus_model.g2785.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3140/Target=lcl|PJQD01000018_1_prot_POY75285_1_1504;exonerate}
8240	8338	internal+	1	3	{GlimmerHMM_glimmerT_3381-T1;GlimmerHMM},{GeneMark_model.3602_t;GeneMark},{Augustus_model.g2785.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3140/Target=lcl|PJQD01000018_1_prot_POY75285_1_1504;exonerate}
8339	8401	INTRON			{GlimmerHMM_glimmerT_3381-T1;GlimmerHMM},{GeneMark_model.3602_t;GeneMark},{Augustus_model.g2785.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3140/Target=lcl|PJQD01000018_1_prot_POY75285_1_1504;exonerate}
8402	8510	internal+	1	1	{GlimmerHMM_glimmerT_3381-T1;GlimmerHMM},{GeneMark_model.3602_t;GeneMark},{Augustus_model.g2785.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3140/Target=lcl|PJQD01000018_1_prot_POY75285_1_1504;exonerate}
8511	8577	INTRON			{GlimmerHMM_glimmerT_3381-T1;GlimmerHMM},{GeneMark_model.3602_t;GeneMark},{Augustus_model.g2785.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3140/Target=lcl|PJQD01000018_1_prot_POY75285_1_1504;exonerate}
8578	8845	internal+	2	2	{GlimmerHMM_glimmerT_3381-T1;GlimmerHMM},{GeneMark_model.3602_t;GeneMark},{Augustus_model.g2785.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3140/Target=lcl|PJQD01000018_1_prot_POY75285_1_1504;exonerate}
8846	8926	INTRON			{GlimmerHMM_glimmerT_3381-T1;GlimmerHMM},{GeneMark_model.3602_t;GeneMark},{Augustus_model.g2785.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3140/Target=lcl|PJQD01000018_1_prot_POY75285_1_1504;exonerate}
8927	9104	terminal+	3	3	{GlimmerHMM_glimmerT_3381-T1;GlimmerHMM},{GeneMark_model.3602_t;GeneMark},{Augustus_model.g2785.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 11.45 9269-13885 orient(-) score(17355.00) noncoding_equivalent(1515.39) raw_noncoding(1799.39) offset(284.00) 
9766	9269	terminal-	4	6	{Augustus_model.g2786.t1;Augustus},{GlimmerHMM_glimmerT_3382-T1;GlimmerHMM},{GeneMark_model.3603_t;GeneMark}
9839	9767	INTRON			{Augustus_model.g2786.t1;Augustus},{GlimmerHMM_glimmerT_3382-T1;GlimmerHMM},{GeneMark_model.3603_t;GeneMark}
11609	9840	internal-	4	6	{Augustus_model.g2786.t1;Augustus},{GlimmerHMM_glimmerT_3382-T1;GlimmerHMM},{GeneMark_model.3603_t;GeneMark}
11678	11610	INTRON			{Augustus_model.g2786.t1;Augustus},{GlimmerHMM_glimmerT_3382-T1;GlimmerHMM},{GeneMark_model.3603_t;GeneMark}
12091	11679	internal-	5	6	{Augustus_model.g2786.t1;Augustus},{GlimmerHMM_glimmerT_3382-T1;GlimmerHMM},{GeneMark_model.3603_t;GeneMark}
12160	12092	INTRON			{Augustus_model.g2786.t1;Augustus},{GlimmerHMM_glimmerT_3382-T1;GlimmerHMM},{GeneMark_model.3603_t;GeneMark}
12228	12161	internal-	6	4	{Augustus_model.g2786.t1;Augustus},{GeneMark_model.3603_t;GeneMark}
12296	12229	INTRON			{Augustus_model.g2786.t1;Augustus},{GeneMark_model.3603_t;GeneMark}
13136	12297	internal-	6	5	{Augustus_model.g2786.t1;Augustus},{GeneMark_model.3603_t;GeneMark}
13199	13137	INTRON			{Augustus_model.g2786.t1;Augustus},{GeneMark_model.3603_t;GeneMark}
13885	13200	initial-	4	5	{Augustus_model.g2786.t1;Augustus},{GeneMark_model.3603_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.40 15027-16451 orient(+) score(3391.00) noncoding_equivalent(2421.08) raw_noncoding(3563.45) offset(1142.37) 
15027	15070	initial+	1	2	{GeneMark_model.3604_t;GeneMark},{Augustus_model.g2787.t1;Augustus}
15071	15139	INTRON			{GeneMark_model.3604_t;GeneMark},{Augustus_model.g2787.t1;Augustus}
15140	15167	internal+	3	3	{GeneMark_model.3604_t;GeneMark},{Augustus_model.g2787.t1;Augustus}
15168	15248	INTRON			{GeneMark_model.3604_t;GeneMark},{Augustus_model.g2787.t1;Augustus}
15249	15314	internal+	1	3	{GeneMark_model.3604_t;GeneMark},{Augustus_model.g2787.t1;Augustus}
15315	15398	INTRON			{GeneMark_model.3604_t;GeneMark},{Augustus_model.g2787.t1;Augustus},{GlimmerHMM_glimmerT_3384-T1;GlimmerHMM}
15399	15472	internal+	1	2	{GeneMark_model.3604_t;GeneMark},{Augustus_model.g2787.t1;Augustus},{GlimmerHMM_glimmerT_3384-T1;GlimmerHMM}
15473	15540	INTRON			{GeneMark_model.3604_t;GeneMark},{Augustus_model.g2787.t1;Augustus},{GlimmerHMM_glimmerT_3384-T1;GlimmerHMM}
15541	15634	internal+	3	3	{GeneMark_model.3604_t;GeneMark},{Augustus_model.g2787.t1;Augustus}
15635	15722	INTRON			{GeneMark_model.3604_t;GeneMark},{Augustus_model.g2787.t1;Augustus}
15723	15776	internal+	1	3	{GeneMark_model.3604_t;GeneMark},{Augustus_model.g2787.t1;Augustus}
15777	15846	INTRON			{GeneMark_model.3604_t;GeneMark},{Augustus_model.g2787.t1;Augustus}
15847	16064	internal+	1	2	{GeneMark_model.3604_t;GeneMark},{Augustus_model.g2787.t1;Augustus}
16065	16145	INTRON			{GeneMark_model.3604_t;GeneMark},{Augustus_model.g2787.t1;Augustus}
16146	16220	internal+	3	2	{GeneMark_model.3604_t;GeneMark},{Augustus_model.g2787.t1;Augustus}
16221	16312	INTRON			{GeneMark_model.3604_t;GeneMark}
16313	16451	terminal+	3	3	{GeneMark_model.3604_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.81 17164-19012 orient(+) score(4922.00) noncoding_equivalent(2721.86) raw_noncoding(3517.00) offset(795.14) 
17164	17393	initial+	1	2	{GeneMark_model.3605_t;GeneMark}
17394	17456	INTRON			{Augustus_model.g2787.t1;Augustus},{GeneMark_model.3605_t;GeneMark}
17457	17496	internal+	3	3	{Augustus_model.g2787.t1;Augustus},{GeneMark_model.3605_t;GeneMark}
17497	17570	INTRON			{Augustus_model.g2787.t1;Augustus},{GeneMark_model.3605_t;GeneMark}
17571	17832	internal+	1	1	{Augustus_model.g2787.t1;Augustus},{GeneMark_model.3605_t;GeneMark}
17833	17899	INTRON			{Augustus_model.g2787.t1;Augustus},{GlimmerHMM_glimmerT_3384-T1;GlimmerHMM},{GeneMark_model.3605_t;GeneMark}
17900	18011	internal+	2	2	{Augustus_model.g2787.t1;Augustus},{GlimmerHMM_glimmerT_3384-T1;GlimmerHMM},{GeneMark_model.3605_t;GeneMark}
18012	18083	INTRON			{Augustus_model.g2787.t1;Augustus},{GeneMark_model.3605_t;GeneMark}
18084	18203	internal+	3	2	{Augustus_model.g2787.t1;Augustus},{GeneMark_model.3605_t;GeneMark}
18204	18265	INTRON			{Augustus_model.g2787.t1;Augustus},{GeneMark_model.3605_t;GeneMark}
18266	18323	internal+	3	3	{Augustus_model.g2787.t1;Augustus},{GeneMark_model.3605_t;GeneMark}
18324	18380	INTRON			{Augustus_model.g2787.t1;Augustus},{GeneMark_model.3605_t;GeneMark}
18381	18525	internal+	1	1	{Augustus_model.g2787.t1;Augustus},{GeneMark_model.3605_t;GeneMark}
18526	18587	INTRON			{Augustus_model.g2787.t1;Augustus},{GlimmerHMM_glimmerT_3384-T1;GlimmerHMM},{GeneMark_model.3605_t;GeneMark}
18588	19012	terminal+	2	3	{Augustus_model.g2787.t1;Augustus},{GlimmerHMM_glimmerT_3384-T1;GlimmerHMM},{GeneMark_model.3605_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 3.72 19236-21766 orient(-) score(13048.00) noncoding_equivalent(3503.24) raw_noncoding(3908.00) offset(404.76) 
20822	19236	terminal-	4	6	{HiQ_model.g2788.t1;HiQ},{GeneMark_model.3606_t;GeneMark}
20885	20823	INTRON			{HiQ_model.g2788.t1;HiQ},{GeneMark_model.3606_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3104/Target=lcl|KQ954570_1_prot_KWU41034_1_6607;exonerate}
21017	20886	internal-	4	6	{HiQ_model.g2788.t1;HiQ},{GeneMark_model.3606_t;GeneMark},{ev_type:exonerate/ID=match.2566964.3104/Target=lcl|KQ954570_1_prot_KWU41034_1_6607;exonerate}
21087	21018	INTRON			{HiQ_model.g2788.t1;HiQ},{GeneMark_model.3606_t;GeneMark},{GlimmerHMM_glimmerT_3385-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3104/Target=lcl|KQ954570_1_prot_KWU41034_1_6607;exonerate}
21223	21088	internal-	6	6	{HiQ_model.g2788.t1;HiQ},{GeneMark_model.3606_t;GeneMark},{GlimmerHMM_glimmerT_3385-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3104/Target=lcl|KQ954570_1_prot_KWU41034_1_6607;exonerate}
21293	21224	INTRON			{HiQ_model.g2788.t1;HiQ},{GeneMark_model.3606_t;GeneMark},{GlimmerHMM_glimmerT_3385-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3104/Target=lcl|KQ954570_1_prot_KWU41034_1_6607;exonerate}
21766	21294	initial-	4	5	{HiQ_model.g2788.t1;HiQ},{GlimmerHMM_glimmerT_3385-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.52 24275-26043 orient(-) score(10963.00) noncoding_equivalent(3111.10) raw_noncoding(4274.00) offset(1162.90) 
24394	24275	terminal-	4	6	{GeneMark_model.3607_t;GeneMark},{GlimmerHMM_glimmerT_3387-T1;GlimmerHMM},{HiQ_model.g2789.t1;HiQ}
24465	24395	INTRON			{GeneMark_model.3607_t;GeneMark},{GlimmerHMM_glimmerT_3387-T1;GlimmerHMM},{HiQ_model.g2789.t1;HiQ},{ev_type:exonerate/ID=match.2566964.3154/Target=lcl|PJQD01000018_1_prot_POY75278_1_1497;exonerate},{ev_type:exonerate/ID=match.2566964.3155/Target=lcl|KQ954563_1_prot_KWU41081_1_6558;exonerate}
24627	24466	internal-	4	6	{GeneMark_model.3607_t;GeneMark},{GlimmerHMM_glimmerT_3387-T1;GlimmerHMM},{HiQ_model.g2789.t1;HiQ},{ev_type:exonerate/ID=match.2566964.3155/Target=lcl|KQ954563_1_prot_KWU41081_1_6558;exonerate}
24692	24628	INTRON			{GeneMark_model.3607_t;GeneMark},{GlimmerHMM_glimmerT_3387-T1;GlimmerHMM},{HiQ_model.g2789.t1;HiQ},{ev_type:exonerate/ID=match.2566964.3155/Target=lcl|KQ954563_1_prot_KWU41081_1_6558;exonerate}
25135	24693	internal-	5	6	{GeneMark_model.3607_t;GeneMark},{GlimmerHMM_glimmerT_3387-T1;GlimmerHMM},{HiQ_model.g2789.t1;HiQ},{ev_type:exonerate/ID=match.2566964.3154/Target=lcl|PJQD01000018_1_prot_POY75278_1_1497;exonerate},{ev_type:exonerate/ID=match.2566964.3155/Target=lcl|KQ954563_1_prot_KWU41081_1_6558;exonerate}
25202	25136	INTRON			{GeneMark_model.3607_t;GeneMark},{GlimmerHMM_glimmerT_3387-T1;GlimmerHMM},{HiQ_model.g2789.t1;HiQ},{ev_type:exonerate/ID=match.2566964.3154/Target=lcl|PJQD01000018_1_prot_POY75278_1_1497;exonerate},{ev_type:exonerate/ID=match.2566964.3155/Target=lcl|KQ954563_1_prot_KWU41081_1_6558;exonerate}
25345	25203	internal-	6	4	{GeneMark_model.3607_t;GeneMark},{GlimmerHMM_glimmerT_3387-T1;GlimmerHMM},{HiQ_model.g2789.t1;HiQ},{ev_type:exonerate/ID=match.2566964.3154/Target=lcl|PJQD01000018_1_prot_POY75278_1_1497;exonerate},{ev_type:exonerate/ID=match.2566964.3155/Target=lcl|KQ954563_1_prot_KWU41081_1_6558;exonerate}
25432	25346	INTRON			{GeneMark_model.3607_t;GeneMark},{GlimmerHMM_glimmerT_3387-T1;GlimmerHMM},{HiQ_model.g2789.t1;HiQ},{ev_type:exonerate/ID=match.2566964.3154/Target=lcl|PJQD01000018_1_prot_POY75278_1_1497;exonerate},{ev_type:exonerate/ID=match.2566964.3155/Target=lcl|KQ954563_1_prot_KWU41081_1_6558;exonerate}
25448	25433	internal-	5	5	{GeneMark_model.3607_t;GeneMark},{GlimmerHMM_glimmerT_3387-T1;GlimmerHMM},{HiQ_model.g2789.t1;HiQ},{ev_type:exonerate/ID=match.2566964.3154/Target=lcl|PJQD01000018_1_prot_POY75278_1_1497;exonerate},{ev_type:exonerate/ID=match.2566964.3155/Target=lcl|KQ954563_1_prot_KWU41081_1_6558;exonerate}
25531	25449	INTRON			{GeneMark_model.3607_t;GeneMark},{GlimmerHMM_glimmerT_3387-T1;GlimmerHMM},{HiQ_model.g2789.t1;HiQ},{ev_type:exonerate/ID=match.2566964.3154/Target=lcl|PJQD01000018_1_prot_POY75278_1_1497;exonerate},{ev_type:exonerate/ID=match.2566964.3155/Target=lcl|KQ954563_1_prot_KWU41081_1_6558;exonerate}
25570	25532	internal-	5	4	{GeneMark_model.3607_t;GeneMark},{GlimmerHMM_glimmerT_3387-T1;GlimmerHMM},{HiQ_model.g2789.t1;HiQ},{ev_type:exonerate/ID=match.2566964.3154/Target=lcl|PJQD01000018_1_prot_POY75278_1_1497;exonerate},{ev_type:exonerate/ID=match.2566964.3155/Target=lcl|KQ954563_1_prot_KWU41081_1_6558;exonerate}
25640	25571	INTRON			{GeneMark_model.3607_t;GeneMark},{GlimmerHMM_glimmerT_3387-T1;GlimmerHMM},{HiQ_model.g2789.t1;HiQ},{ev_type:exonerate/ID=match.2566964.3154/Target=lcl|PJQD01000018_1_prot_POY75278_1_1497;exonerate},{ev_type:exonerate/ID=match.2566964.3155/Target=lcl|KQ954563_1_prot_KWU41081_1_6558;exonerate}
25797	25641	internal-	4	4	{GeneMark_model.3607_t;GeneMark},{GlimmerHMM_glimmerT_3387-T1;GlimmerHMM},{HiQ_model.g2789.t1;HiQ},{ev_type:exonerate/ID=match.2566964.3154/Target=lcl|PJQD01000018_1_prot_POY75278_1_1497;exonerate},{ev_type:exonerate/ID=match.2566964.3155/Target=lcl|KQ954563_1_prot_KWU41081_1_6558;exonerate}
25950	25798	INTRON			{GeneMark_model.3607_t;GeneMark},{GlimmerHMM_glimmerT_3387-T1;GlimmerHMM},{HiQ_model.g2789.t1;HiQ},{ev_type:exonerate/ID=match.2566964.3154/Target=lcl|PJQD01000018_1_prot_POY75278_1_1497;exonerate},{ev_type:exonerate/ID=match.2566964.3155/Target=lcl|KQ954563_1_prot_KWU41081_1_6558;exonerate}
26043	25951	initial-	4	6	{GeneMark_model.3607_t;GeneMark},{GlimmerHMM_glimmerT_3387-T1;GlimmerHMM},{HiQ_model.g2789.t1;HiQ}

# EVM prediction: Mode:STANDARD S-ratio: 2.85 26340-28755 orient(-) score(8234.00) noncoding_equivalent(2884.95) raw_noncoding(3409.00) offset(524.05) 
26591	26340	terminal-	4	6	{GeneMark_model.3608_t;GeneMark},{Augustus_model.g2790.t1;Augustus},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}
26666	26592	INTRON			{GeneMark_model.3608_t;GeneMark},{Augustus_model.g2790.t1;Augustus},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}
26722	26667	internal-	5	6	{GeneMark_model.3608_t;GeneMark},{Augustus_model.g2790.t1;Augustus},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}
26802	26723	INTRON			{GeneMark_model.3608_t;GeneMark},{Augustus_model.g2790.t1;Augustus},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}
27101	26803	internal-	6	4	{GeneMark_model.3608_t;GeneMark},{Augustus_model.g2790.t1;Augustus},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}
27176	27102	INTRON			{GeneMark_model.3608_t;GeneMark},{snap_scaffold_8-snap.78-T1;snap},{Augustus_model.g2790.t1;Augustus},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}
27213	27177	internal-	5	5	{GeneMark_model.3608_t;GeneMark},{Augustus_model.g2790.t1;Augustus},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}
27291	27214	INTRON			{GeneMark_model.3608_t;GeneMark},{Augustus_model.g2790.t1;Augustus},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}
27886	27292	internal-	4	4	{GeneMark_model.3608_t;GeneMark},{Augustus_model.g2790.t1;Augustus},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}
27954	27887	INTRON			{GeneMark_model.3608_t;GeneMark},{Augustus_model.g2790.t1;Augustus},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}
27996	27955	internal-	4	6	{GeneMark_model.3608_t;GeneMark},{Augustus_model.g2790.t1;Augustus},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}
28062	27997	INTRON			{GeneMark_model.3608_t;GeneMark},{Augustus_model.g2790.t1;Augustus},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}
28150	28063	internal-	6	6	{GeneMark_model.3608_t;GeneMark},{Augustus_model.g2790.t1;Augustus},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}
28227	28151	INTRON			{GeneMark_model.3608_t;GeneMark},{Augustus_model.g2790.t1;Augustus},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}
28329	28228	internal-	6	5	{GeneMark_model.3608_t;GeneMark},{Augustus_model.g2790.t1;Augustus},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}
28423	28330	INTRON			{GeneMark_model.3608_t;GeneMark},{Augustus_model.g2790.t1;Augustus},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}
28484	28424	internal-	5	5	{GeneMark_model.3608_t;GeneMark},{Augustus_model.g2790.t1;Augustus},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}
28544	28485	INTRON			{GeneMark_model.3608_t;GeneMark},{Augustus_model.g2790.t1;Augustus},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}
28755	28545	initial-	4	4	{GeneMark_model.3608_t;GeneMark},{GlimmerHMM_glimmerT_3388-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 2.19 30029-30259 orient(-) score(635.00) noncoding_equivalent(290.42) raw_noncoding(290.42) offset(0.00) 
30259	30029	single-	4	6	{GeneMark_model.3609_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.02 31078-34536 orient(+) score(10735.00) noncoding_equivalent(5323.33) raw_noncoding(7954.93) offset(2631.60) 
31078	31150	initial+	1	1	{Augustus_model.g2791.t1;Augustus}
31151	31213	INTRON			{GeneMark_model.3610_t;GeneMark},{Augustus_model.g2791.t1;Augustus}
31214	31316	internal+	2	2	{GeneMark_model.3610_t;GeneMark},{Augustus_model.g2791.t1;Augustus},{GlimmerHMM_glimmerT_3390-T1;GlimmerHMM}
31317	31388	INTRON			{GeneMark_model.3610_t;GeneMark},{Augustus_model.g2791.t1;Augustus},{GlimmerHMM_glimmerT_3390-T1;GlimmerHMM}
31389	31446	internal+	3	3	{GeneMark_model.3610_t;GeneMark},{Augustus_model.g2791.t1;Augustus},{GlimmerHMM_glimmerT_3390-T1;GlimmerHMM}
31447	32376	INTRON			{GeneMark_model.3610_t;GeneMark},{GlimmerHMM_glimmerT_3390-T1;GlimmerHMM}
32377	32518	internal+	1	1	{GeneMark_model.3610_t;GeneMark},{Augustus_model.g2792.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3151/Target=lcl|KQ954486_1_prot_KWU43754_1_3917;exonerate}
32519	32609	INTRON			{GeneMark_model.3610_t;GeneMark},{Augustus_model.g2792.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3151/Target=lcl|KQ954486_1_prot_KWU43754_1_3917;exonerate}
32610	32723	internal+	2	1	{GeneMark_model.3610_t;GeneMark},{Augustus_model.g2792.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3151/Target=lcl|KQ954486_1_prot_KWU43754_1_3917;exonerate}
32724	32810	INTRON			{GeneMark_model.3610_t;GeneMark},{Augustus_model.g2792.t1;Augustus},{GlimmerHMM_glimmerT_3390-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3151/Target=lcl|KQ954486_1_prot_KWU43754_1_3917;exonerate}
32811	32865	internal+	2	2	{GeneMark_model.3610_t;GeneMark},{Augustus_model.g2792.t1;Augustus},{GlimmerHMM_glimmerT_3390-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3151/Target=lcl|KQ954486_1_prot_KWU43754_1_3917;exonerate}
32866	32938	INTRON			{GeneMark_model.3610_t;GeneMark},{Augustus_model.g2792.t1;Augustus},{GlimmerHMM_glimmerT_3390-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3151/Target=lcl|KQ954486_1_prot_KWU43754_1_3917;exonerate}
32939	33059	internal+	3	3	{GeneMark_model.3610_t;GeneMark},{Augustus_model.g2792.t1;Augustus},{GlimmerHMM_glimmerT_3390-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3151/Target=lcl|KQ954486_1_prot_KWU43754_1_3917;exonerate}
33060	33147	INTRON			{GeneMark_model.3610_t;GeneMark},{Augustus_model.g2792.t1;Augustus},{GlimmerHMM_glimmerT_3390-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3151/Target=lcl|KQ954486_1_prot_KWU43754_1_3917;exonerate}
33148	33236	internal+	1	2	{GeneMark_model.3610_t;GeneMark},{Augustus_model.g2792.t1;Augustus},{GlimmerHMM_glimmerT_3390-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3151/Target=lcl|KQ954486_1_prot_KWU43754_1_3917;exonerate}
33237	33319	INTRON			{GeneMark_model.3610_t;GeneMark},{Augustus_model.g2792.t1;Augustus},{GlimmerHMM_glimmerT_3390-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3151/Target=lcl|KQ954486_1_prot_KWU43754_1_3917;exonerate}
33320	33661	internal+	3	2	{GeneMark_model.3610_t;GeneMark},{Augustus_model.g2792.t1;Augustus}
33662	33737	INTRON			{GeneMark_model.3610_t;GeneMark},{Augustus_model.g2792.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3151/Target=lcl|KQ954486_1_prot_KWU43754_1_3917;exonerate}
33738	33915	internal+	3	3	{GeneMark_model.3610_t;GeneMark},{Augustus_model.g2792.t1;Augustus}
