# EVM prediction: Mode:STANDARD S-ratio: 2.26 323-619 orient(-) score(821.00) noncoding_equivalent(364.08) raw_noncoding(364.08) offset(0.00)
619	323	single-	4	6	{Augustus_model.g3389.t1;Augustus}
21537	21460	INTRON			{GeneMark_model.4345_t;GeneMark},{Augustus_model.g3396.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3716/Target=lcl|NW_017264946_1_prot_XP_018267817_1_6920;exonerate},{ev_type:exonerate/ID=match.2566964.3713/Target=lcl|BJWK01000004_1_prot_GEM08116_1_2133;exonerate},{ev_type:exonerate/ID=match.2566964.3779/Target=lcl|PJQD01000129_1_prot_POY70291_1_647;exonerate}
21561	21538	internal-	6	5	{GeneMark_model.4345_t;GeneMark},{Augustus_model.g3396.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3716/Target=lcl|NW_017264946_1_prot_XP_018267817_1_6920;exonerate},{ev_type:exonerate/ID=match.2566964.3713/Target=lcl|BJWK01000004_1_prot_GEM08116_1_2133;exonerate},{ev_type:exonerate/ID=match.2566964.3779/Target=lcl|PJQD01000129_1_prot_POY70291_1_647;exonerate}
21656	21562	INTRON			{GeneMark_model.4345_t;GeneMark},{Augustus_model.g3396.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3716/Target=lcl|NW_017264946_1_prot_XP_018267817_1_6920;exonerate},{ev_type:exonerate/ID=match.2566964.3713/Target=lcl|BJWK01000004_1_prot_GEM08116_1_2133;exonerate},{ev_type:exonerate/ID=match.2566964.3779/Target=lcl|PJQD01000129_1_prot_POY70291_1_647;exonerate}
22586	21657	internal-	6	5	{GeneMark_model.4345_t;GeneMark},{GlimmerHMM_glimmerT_4075-T1;GlimmerHMM},{Augustus_model.g3396.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3716/Target=lcl|NW_017264946_1_prot_XP_018267817_1_6920;exonerate},{ev_type:exonerate/ID=match.2566964.3713/Target=lcl|BJWK01000004_1_prot_GEM08116_1_2133;exonerate}
22654	22587	INTRON			{GlimmerHMM_glimmerT_4075-T1;GlimmerHMM},{Augustus_model.g3396.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3716/Target=lcl|NW_017264946_1_prot_XP_018267817_1_6920;exonerate},{ev_type:exonerate/ID=match.2566964.3743/Target=lcl|PJQD01000133_1_prot_POY70283_1_822;exonerate},{ev_type:exonerate/ID=match.2566964.3713/Target=lcl|BJWK01000004_1_prot_GEM08116_1_2133;exonerate}
23179	22655	internal-	6	5	{GlimmerHMM_glimmerT_4075-T1;GlimmerHMM},{Augustus_model.g3396.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3716/Target=lcl|NW_017264946_1_prot_XP_018267817_1_6920;exonerate},{ev_type:exonerate/ID=match.2566964.3743/Target=lcl|PJQD01000133_1_prot_POY70283_1_822;exonerate},{ev_type:exonerate/ID=match.2566964.3713/Target=lcl|BJWK01000004_1_prot_GEM08116_1_2133;exonerate}
23258	23180	INTRON			{GeneMark_model.4345_t;GeneMark},{GlimmerHMM_glimmerT_4075-T1;GlimmerHMM},{Augustus_model.g3396.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3716/Target=lcl|NW_017264946_1_prot_XP_018267817_1_6920;exonerate},{ev_type:exonerate/ID=match.2566964.3743/Target=lcl|PJQD01000133_1_prot_POY70283_1_822;exonerate},{ev_type:exonerate/ID=match.2566964.3713/Target=lcl|BJWK01000004_1_prot_GEM08116_1_2133;exonerate}
23346	23259	internal-	5	5	{GeneMark_model.4345_t;GeneMark},{Augustus_model.g3396.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3716/Target=lcl|NW_017264946_1_prot_XP_018267817_1_6920;exonerate},{ev_type:exonerate/ID=match.2566964.3743/Target=lcl|PJQD01000133_1_prot_POY70283_1_822;exonerate},{ev_type:exonerate/ID=match.2566964.3713/Target=lcl|BJWK01000004_1_prot_GEM08116_1_2133;exonerate}
23417	23347	INTRON			{GeneMark_model.4345_t;GeneMark},{snap_scaffold_10-snap.9-T1;snap},{Augustus_model.g3396.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3716/Target=lcl|NW_017264946_1_prot_XP_018267817_1_6920;exonerate},{ev_type:exonerate/ID=match.2566964.3743/Target=lcl|PJQD01000133_1_prot_POY70283_1_822;exonerate},{ev_type:exonerate/ID=match.2566964.3713/Target=lcl|BJWK01000004_1_prot_GEM08116_1_2133;exonerate}
23421	23418	initial-	4	4	{GeneMark_model.4345_t;GeneMark},{snap_scaffold_10-snap.9-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 1.95 24575-27489 orient(+) score(7924.00) noncoding_equivalent(4070.53) raw_noncoding(4834.53) offset(764.00)
24575	25763	initial+	1	1	{GlimmerHMM_glimmerT_4076-T1;GlimmerHMM},{Augustus_model.g3397.t1;Augustus},{GeneMark_model.4346_t;GeneMark}
25764	25841	INTRON			{GlimmerHMM_glimmerT_4076-T1;GlimmerHMM},{Augustus_model.g3397.t1;Augustus},{GeneMark_model.4346_t;GeneMark}
25842	25950	internal+	2	2	{Augustus_model.g3397.t1;Augustus},{GeneMark_model.4346_t;GeneMark}
25951	26034	INTRON			{Augustus_model.g3397.t1;Augustus},{GeneMark_model.4346_t;GeneMark}
26035	26155	internal+	3	3	{Augustus_model.g3397.t1;Augustus},{GeneMark_model.4346_t;GeneMark}
26156	26218	INTRON			{Augustus_model.g3397.t1;Augustus},{GeneMark_model.4346_t;GeneMark}
26219	26296	internal+	1	3	{Augustus_model.g3397.t1;Augustus},{GeneMark_model.4346_t;GeneMark}
26297	26370	INTRON			{Augustus_model.g3397.t1;Augustus},{GeneMark_model.4346_t;GeneMark}
26371	26432	internal+	1	2	{Augustus_model.g3397.t1;Augustus},{GeneMark_model.4346_t;GeneMark}
26433	26501	INTRON			{Augustus_model.g3397.t1;Augustus},{GeneMark_model.4346_t;GeneMark}
26502	26637	internal+	3	3	{Augustus_model.g3397.t1;Augustus},{GeneMark_model.4346_t;GeneMark}
26638	26712	INTRON			{Augustus_model.g3397.t1;Augustus},{GeneMark_model.4346_t;GeneMark}
26713	26761	internal+	1	1	{Augustus_model.g3397.t1;Augustus},{GeneMark_model.4346_t;GeneMark}
26762	26854	INTRON			{Augustus_model.g3397.t1;Augustus},{GlimmerHMM_glimmerT_4077-T1;GlimmerHMM},{GeneMark_model.4346_t;GeneMark}
26855	27489	terminal+	2	3	{GeneMark_model.4346_t;GeneMark}

