!! Predictions spanning range 707 - 104571 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 14.19 707-2404 orient(-) score(6345.00) noncoding_equivalent(447.00) raw_noncoding(447.00) offset(0.00) 
2404	707	single-	4	6	{GlimmerHMM_glimmerT_1122-T1;GlimmerHMM}
10741	10507	initial-	4	4	{GlimmerHMM_glimmerT_1126-T1;GlimmerHMM},{Augustus_model.g921.t1;Augustus},{GeneMark_model.1222_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.25 11171-12138 orient(-) score(4834.00) noncoding_equivalent(2152.00) raw_noncoding(2756.00) offset(604.00) 
11257	11171	terminal-	4	6	{GeneMark_model.1223_t;GeneMark},{GlimmerHMM_glimmerT_1127-T1;GlimmerHMM},{Augustus_model.g922.t1;Augustus}
11558	11258	INTRON			{GeneMark_model.1223_t;GeneMark},{GlimmerHMM_glimmerT_1127-T1;GlimmerHMM},{Augustus_model.g922.t1;Augustus},{ev_type:exonerate/ID=match.2566964.1701/Target=lcl|PJQD01000002_1_prot_POY76747_1_1904;exonerate},{ev_type:exonerate/ID=match.2566964.1699/Target=lcl|KQ954526_1_prot_KWU41761_1_5898;exonerate}
11678	11559	internal-	4	6	{GeneMark_model.1223_t;GeneMark},{GlimmerHMM_glimmerT_1127-T1;GlimmerHMM},{Augustus_model.g922.t1;Augustus},{ev_type:exonerate/ID=match.2566964.1701/Target=lcl|PJQD01000002_1_prot_POY76747_1_1904;exonerate},{ev_type:exonerate/ID=match.2566964.1699/Target=lcl|KQ954526_1_prot_KWU41761_1_5898;exonerate}
11973	11679	INTRON			{GeneMark_model.1223_t;GeneMark},{GlimmerHMM_glimmerT_1127-T1;GlimmerHMM},{Augustus_model.g922.t1;Augustus},{ev_type:exonerate/ID=match.2566964.1701/Target=lcl|PJQD01000002_1_prot_POY76747_1_1904;exonerate},{ev_type:exonerate/ID=match.2566964.1699/Target=lcl|KQ954526_1_prot_KWU41761_1_5898;exonerate}
12138	11974	initial-	4	6	{GeneMark_model.1223_t;GeneMark},{GlimmerHMM_glimmerT_1127-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 5.87 12417-14555 orient(-) score(7501.00) noncoding_equivalent(1278.91) raw_noncoding(1525.54) offset(246.64) 
13768	12417	terminal-	5	6	{GlimmerHMM_glimmerT_1128-T1;GlimmerHMM},{GeneMark_model.1224_t;GeneMark}
13826	13769	INTRON			{GlimmerHMM_glimmerT_1128-T1;GlimmerHMM},{GeneMark_model.1224_t;GeneMark},{Augustus_model.g922.t1;Augustus}
13996	13827	internal-	6	4	{GlimmerHMM_glimmerT_1128-T1;GlimmerHMM},{GeneMark_model.1224_t;GeneMark},{Augustus_model.g922.t1;Augustus}
14054	13997	INTRON			{GlimmerHMM_glimmerT_1128-T1;GlimmerHMM},{GeneMark_model.1224_t;GeneMark},{Augustus_model.g922.t1;Augustus}
14403	14055	internal-	5	5	{GeneMark_model.1224_t;GeneMark},{Augustus_model.g922.t1;Augustus}
14464	14404	INTRON			{GeneMark_model.1224_t;GeneMark},{Augustus_model.g922.t1;Augustus}
14555	14465	initial-	4	4	{GeneMark_model.1224_t;GeneMark},{Augustus_model.g922.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 1.55 15588-17362 orient(+) score(4344.00) noncoding_equivalent(2795.52) raw_noncoding(3606.20) offset(810.68) 
15588	16090	initial+	1	2	{GeneMark_model.1225_t;GeneMark},{GlimmerHMM_glimmerT_1129-T1;GlimmerHMM}
16091	16343	INTRON			{GeneMark_model.1225_t;GeneMark},{GlimmerHMM_glimmerT_1129-T1;GlimmerHMM}
16344	16535	internal+	3	2	{GeneMark_model.1225_t;GeneMark},{Augustus_model.g923.t1;Augustus},{GlimmerHMM_glimmerT_1129-T1;GlimmerHMM}
16536	16598	INTRON			{GeneMark_model.1225_t;GeneMark},{Augustus_model.g923.t1;Augustus}
16599	16636	internal+	3	1	{GeneMark_model.1225_t;GeneMark}
16637	16687	INTRON			{GeneMark_model.1225_t;GeneMark}
16688	17023	internal+	2	1	{GeneMark_model.1225_t;GeneMark}
17024	17096	INTRON			{GeneMark_model.1225_t;GeneMark},{Augustus_model.g923.t1;Augustus},{GlimmerHMM_glimmerT_1129-T1;GlimmerHMM}
17097	17362	terminal+	2	3	{GeneMark_model.1225_t;GeneMark},{Augustus_model.g923.t1;Augustus},{GlimmerHMM_glimmerT_1129-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 9.39 18836-21510 orient(-) score(21511.00) noncoding_equivalent(2289.73) raw_noncoding(2674.14) offset(384.42) 
18865	18836	terminal-	4	6	{Augustus_model.g924.t1;Augustus},{GeneMark_model.1226_t;GeneMark},{GlimmerHMM_glimmerT_1130-T1;GlimmerHMM}
18950	18866	INTRON			{Augustus_model.g924.t1;Augustus},{GeneMark_model.1226_t;GeneMark}
19019	18951	internal-	4	6	{Augustus_model.g924.t1;Augustus},{GeneMark_model.1226_t;GeneMark}
19111	19020	INTRON			{Augustus_model.g924.t1;Augustus},{GeneMark_model.1226_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1455/Target=lcl|LCTV02000007_1_prot_PRQ74118_1_7317;exonerate},{ev_type:exonerate/ID=match.2566964.1524/Target=lcl|NW_017264932_1_prot_XP_018272192_1_3100;exonerate},{ev_type:exonerate/ID=match.2566964.1450/Target=lcl|PJQD01000002_1_prot_POY76743_1_1900;exonerate},{ev_type:exonerate/ID=match.2566964.1451/Target=lcl|KQ954526_1_prot_KWU41757_1_5894;exonerate},{ev_type:exonerate/ID=match.2566964.1454/Target=lcl|BJWK01000016_1_prot_GEM11763_1_5780;exonerate}
19296	19112	internal-	5	6	{Augustus_model.g924.t1;Augustus},{GeneMark_model.1226_t;GeneMark},{GlimmerHMM_glimmerT_1130-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1455/Target=lcl|LCTV02000007_1_prot_PRQ74118_1_7317;exonerate},{ev_type:exonerate/ID=match.2566964.1524/Target=lcl|NW_017264932_1_prot_XP_018272192_1_3100;exonerate},{ev_type:exonerate/ID=match.2566964.1450/Target=lcl|PJQD01000002_1_prot_POY76743_1_1900;exonerate},{ev_type:exonerate/ID=match.2566964.1451/Target=lcl|KQ954526_1_prot_KWU41757_1_5894;exonerate},{ev_type:exonerate/ID=match.2566964.1454/Target=lcl|BJWK01000016_1_prot_GEM11763_1_5780;exonerate}
19360	19297	INTRON			{Augustus_model.g924.t1;Augustus},{GeneMark_model.1226_t;GeneMark},{GlimmerHMM_glimmerT_1130-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1455/Target=lcl|LCTV02000007_1_prot_PRQ74118_1_7317;exonerate},{ev_type:exonerate/ID=match.2566964.1450/Target=lcl|PJQD01000002_1_prot_POY76743_1_1900;exonerate},{ev_type:exonerate/ID=match.2566964.1451/Target=lcl|KQ954526_1_prot_KWU41757_1_5894;exonerate},{ev_type:exonerate/ID=match.2566964.1454/Target=lcl|BJWK01000016_1_prot_GEM11763_1_5780;exonerate}
21018	19361	internal-	6	4	{Augustus_model.g924.t1;Augustus},{GeneMark_model.1226_t;GeneMark},{GlimmerHMM_glimmerT_1130-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1455/Target=lcl|LCTV02000007_1_prot_PRQ74118_1_7317;exonerate},{ev_type:exonerate/ID=match.2566964.1450/Target=lcl|PJQD01000002_1_prot_POY76743_1_1900;exonerate},{ev_type:exonerate/ID=match.2566964.1451/Target=lcl|KQ954526_1_prot_KWU41757_1_5894;exonerate},{ev_type:exonerate/ID=match.2566964.1454/Target=lcl|BJWK01000016_1_prot_GEM11763_1_5780;exonerate}
21325	21019	INTRON			{snap_scaffold_3-snap.8-T1;snap},{Augustus_model.g924.t1;Augustus},{GeneMark_model.1226_t;GeneMark},{GlimmerHMM_glimmerT_1130-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1455/Target=lcl|LCTV02000007_1_prot_PRQ74118_1_7317;exonerate},{ev_type:exonerate/ID=match.2566964.1450/Target=lcl|PJQD01000002_1_prot_POY76743_1_1900;exonerate},{ev_type:exonerate/ID=match.2566964.1451/Target=lcl|KQ954526_1_prot_KWU41757_1_5894;exonerate},{ev_type:exonerate/ID=match.2566964.1454/Target=lcl|BJWK01000016_1_prot_GEM11763_1_5780;exonerate}
21510	21326	initial-	4	5	{Augustus_model.g924.t1;Augustus},{GeneMark_model.1226_t;GeneMark},{GlimmerHMM_glimmerT_1130-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.61 21761-32437 orient(-) score(34871.00) noncoding_equivalent(9663.11) raw_noncoding(11796.00) offset(2132.89) 
21988	21761	terminal-	4	6	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
22061	21989	INTRON			{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1590/Target=lcl|KQ954526_1_prot_KWU41756_1_5893;exonerate}
22661	22062	internal-	4	6	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
22721	22662	INTRON			{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark}
22775	22722	internal-	4	6	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark}
22841	22776	INTRON			{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark}
23039	22842	internal-	4	6	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
23103	23040	INTRON			{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
23210	23104	internal-	5	6	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
23275	23211	INTRON			{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
23824	23276	internal-	5	4	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
23891	23825	INTRON			{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
25347	23892	internal-	4	4	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
25403	25348	INTRON			{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
26221	25404	internal-	5	6	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
26282	26222	INTRON			{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
27093	26283	internal-	4	4	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark}
27173	27094	INTRON			{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark}
27667	27174	internal-	5	6	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
27872	27668	INTRON			{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
27954	27873	internal-	4	4	{GeneMark_model.1227_t;GeneMark}
28020	27955	INTRON			{GeneMark_model.1227_t;GeneMark}
28208	28021	internal-	5	6	{GeneMark_model.1227_t;GeneMark}
28271	28209	INTRON			{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark}
28610	28272	internal-	5	4	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark}
28672	28611	INTRON			{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark}
28803	28673	internal-	6	4	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark}
28872	28804	INTRON			{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark}
28996	28873	internal-	5	5	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
29059	28997	INTRON			{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
29287	29060	internal-	5	4	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
29375	29288	INTRON			{Augustus_model.g925.t1;Augustus},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
29410	29376	internal-	6	4	{Augustus_model.g925.t1;Augustus},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
29476	29411	INTRON			{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
30101	29477	internal-	5	5	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
30167	30102	INTRON			{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
31461	30168	internal-	4	4	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
31523	31462	INTRON			{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
31649	31524	internal-	4	6	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark}
31712	31650	INTRON			{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark}
32259	31713	internal-	6	6	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark}
32318	32260	INTRON			{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
32437	32319	initial-	4	5	{Augustus_model.g925.t1;Augustus},{GeneMark_model.1227_t;GeneMark},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 2.40 32934-36769 orient(+) score(11279.00) noncoding_equivalent(4691.47) raw_noncoding(5450.00) offset(758.53) 
32934	33766	initial+	1	2	{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark}
33767	33825	INTRON			{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark}
33826	33917	internal+	3	1	{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark}
33918	33983	INTRON			{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark}
33984	34043	internal+	2	1	{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark}
34044	34106	INTRON			{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark}
34107	34727	internal+	2	1	{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark}
34728	34785	INTRON			{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark},{GlimmerHMM_glimmerT_1132-T1;GlimmerHMM}
34786	35178	internal+	2	1	{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark},{GlimmerHMM_glimmerT_1132-T1;GlimmerHMM}
35179	35235	INTRON			{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark},{GlimmerHMM_glimmerT_1132-T1;GlimmerHMM}
35236	35664	internal+	2	1	{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark}
35665	35731	INTRON			{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark}
35732	36116	internal+	2	2	{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark}
36117	36186	INTRON			{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark},{GlimmerHMM_glimmerT_1132-T1;GlimmerHMM}
36187	36199	internal+	3	3	{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark},{GlimmerHMM_glimmerT_1132-T1;GlimmerHMM}
36200	36269	INTRON			{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark},{GlimmerHMM_glimmerT_1132-T1;GlimmerHMM}
36270	36576	internal+	1	1	{Augustus_model.g926.t1;Augustus},{GeneMark_model.1228_t;GeneMark},{GlimmerHMM_glimmerT_1132-T1;GlimmerHMM}
